datetime,open,high,low,close,volume
2026-03-10T18:45:00+00:00,25015.49,25064.49,25005.86,25007.24,86596
2026-03-10T19:00:00+00:00,25007.24,25030.24,24987.61,25025.24,76091
2026-03-10T19:15:00+00:00,25025.24,25050.74,24964.49,24967.86,65519
2026-03-10T19:30:00+00:00,24967.86,25010.11,24936.11,24971.99,76541
2026-03-10T19:45:00+00:00,24971.99,24983.74,24919.74,24961.61,66731
2026-03-10T20:00:00+00:00,24961.61,25015.96,24961.61,25011.09,17564
2026-03-10T20:15:00+00:00,25011.09,25012.09,24990.09,25001.71,12356
2026-03-10T20:30:00+00:00,25001.71,25006.84,24987.59,24995.09,8231
2026-03-10T20:45:00+00:00,24995.09,25004.46,24971.09,24987.54,8714
2026-03-10T22:00:00+00:00,24987.54,24994.89,24960.84,24992.02,4273
2026-03-10T22:15:00+00:00,24992.02,24997.52,24948.27,24950.89,5323
2026-03-10T22:30:00+00:00,24950.89,24956.77,24931.27,24932.64,5390
2026-03-10T22:45:00+00:00,24932.64,24949.77,24932.64,24949.77,3355
2026-03-10T23:00:00+00:00,24949.77,24964.89,24943.27,24962.89,3855
2026-03-10T23:15:00+00:00,24962.89,24972.89,24958.02,24964.64,4091
2026-03-10T23:30:00+00:00,24964.64,24965.77,24953.89,24959.02,3936
2026-03-10T23:45:00+00:00,24959.02,25004.52,24957.39,24995.77,7506
2026-03-11T00:00:00+00:00,24995.77,25051.39,24990.27,25037.77,16808
2026-03-11T00:15:00+00:00,25037.77,25065.02,25029.14,25049.02,14556
2026-03-11T00:30:00+00:00,25049.02,25054.89,25033.02,25039.27,9504
2026-03-11T00:45:00+00:00,25039.27,25054.77,25031.89,25040.77,9376
2026-03-11T01:00:00+00:00,25040.77,25055.64,25030.89,25055.64,12932
2026-03-11T01:15:00+00:00,25055.64,25062.02,25050.27,25055.14,10799
2026-03-11T01:30:00+00:00,25055.14,25077.02,25052.39,25072.39,9351
2026-03-11T01:45:00+00:00,25072.39,25073.27,25062.64,25070.77,7540
2026-03-11T02:00:00+00:00,25070.77,25072.52,25055.02,25058.89,6967
2026-03-11T02:15:00+00:00,25058.89,25080.52,25058.89,25067.02,7097
2026-03-11T02:30:00+00:00,25067.02,25070.89,25053.64,25068.89,6973
2026-03-11T02:45:00+00:00,25068.89,25078.27,25063.52,25073.64,5506
2026-03-11T03:00:00+00:00,25073.64,25079.52,25065.89,25072.89,4770
2026-03-11T03:15:00+00:00,25072.89,25079.02,25069.77,25072.14,4441
2026-03-11T03:30:00+00:00,25072.14,25097.64,25071.89,25093.52,5907
2026-03-11T03:45:00+00:00,25093.52,25102.64,25089.27,25098.27,5866
2026-03-11T04:00:00+00:00,25098.27,25101.14,25090.27,25096.02,3599
2026-03-11T04:15:00+00:00,25096.02,25098.52,25092.39,25096.64,2944
2026-03-11T04:30:00+00:00,25096.64,25097.02,25076.02,25076.52,4706
2026-03-11T04:45:00+00:00,25076.52,25085.02,25066.27,25070.64,4449
2026-03-11T05:00:00+00:00,25070.64,25074.77,25035.52,25040.64,10128
2026-03-11T05:15:00+00:00,25040.64,25055.77,25037.64,25044.52,9159
2026-03-11T05:30:00+00:00,25044.52,25045.14,25019.52,25020.02,9191
2026-03-11T05:45:00+00:00,25020.02,25022.52,25005.14,25009.39,12595
2026-03-11T06:00:00+00:00,25009.39,25017.64,24990.64,25017.64,14981
2026-03-11T06:15:00+00:00,25017.64,25021.14,24987.52,24999.39,10747
2026-03-11T06:30:00+00:00,24999.39,25032.52,24999.02,25028.02,9353
2026-03-11T06:45:00+00:00,25028.02,25028.02,25003.27,25020.27,5320
2026-03-11T07:00:00+00:00,25020.27,25026.52,24988.64,25012.27,10790
2026-03-11T07:15:00+00:00,25012.27,25014.14,24978.39,24981.77,12958
2026-03-11T07:30:00+00:00,24981.77,24988.02,24927.14,24943.52,15556
2026-03-11T07:45:00+00:00,24943.52,24986.77,24933.89,24985.14,12724
2026-03-11T08:00:00+00:00,24985.14,25006.89,24977.02,25006.52,24382
2026-03-11T08:15:00+00:00,25006.52,25007.77,24980.14,24987.89,16589
2026-03-11T08:30:00+00:00,24987.89,25014.02,24956.52,24967.52,21211
2026-03-11T08:45:00+00:00,24967.52,24975.09,24911.52,24942.89,22493
2026-03-11T09:00:00+00:00,24942.89,24946.02,24902.27,24911.89,20980
2026-03-11T09:15:00+00:00,24911.89,24947.27,24898.52,24899.64,16304
2026-03-11T09:30:00+00:00,24899.64,24924.77,24891.14,24899.02,15254
2026-03-11T09:45:00+00:00,24899.02,24916.77,24876.89,24879.39,13885
